a = 2, b = 3, c = 5, 7797.34
a = 2, b = 11, c = 43, 7632.02
a = 2, b = 11, c = 47, 7746.25
a = 2, b = 11, c = 53, 7631.55
a = 2, b = 11, c = 59, 7584.82
a = 2, b = 11, c = 61, 7691.97
a = 2, b = 13, c = 5, 7988.79
a = 2, b = 13, c = 7, 7635.91
a = 2, b = 13, c = 11, 7923.39
a = 2, b = 13, c = 17, 7869.19
a = 2, b = 13, c = 19, 7946.41
a = 2, b = 13, c = 23, 7770.59
a = 2, b = 13, c = 29, 7860.17
a = 2, b = 13, c = 31, 7638.16
a = 2, b = 13, c = 37, 7704.34
a = 2, b = 13, c = 41, 7902.47
a = 2, b = 13, c = 43, 7679.30
a = 2, b = 13, c = 47, 7905.19
a = 2, b = 13, c = 53, 7717.63
a = 2, b = 13, c = 59, 7742.36
a = 2, b = 17, c = 5, 8004.96
a = 2, b = 17, c = 7, 7775.88
a = 2, b = 17, c = 11, 7966.70
a = 2, b = 17, c = 13, 7973.70
a = 2, b = 17, c = 19, 7852.16
a = 2, b = 17, c = 23, 7901.70
a = 2, b = 17, c = 29, 7971.14
a = 2, b = 17, c = 31, 7740.96
a = 2, b = 17, c = 37, 7977.51
a = 2, b = 17, c = 41, 7909.70
a = 2, b = 17, c = 43, 7704.73
a = 2, b = 17, c = 47, 7948.90
a = 2, b = 17, c = 53, 7975.41
a = 2, b = 17, c = 59, 7968.49
a = 2, b = 17, c = 61, 7770.67
a = 2, b = 19, c = 5, 7915.54
a = 2, b = 19, c = 7, 7906.36
a = 2, b = 19, c = 11, 7750.14
a = 2, b = 19, c = 13, 7981.79
a = 2, b = 19, c = 17, 7868.49
a = 2, b = 19, c = 23, 7962.66
a = 2, b = 19, c = 29, 7607.76
a = 2, b = 19, c = 31, 7902.86
a = 2, b = 19, c = 37, 7808.61
a = 2, b = 19, c = 41, 7784.28
a = 2, b = 19, c = 43, 7858.54
a = 2, b = 19, c = 47, 7550.37
a = 2, b = 19, c = 53, 7860.48
a = 2, b = 19, c = 59, 7890.11
a = 2, b = 23, c = 7, 7872.69
a = 2, b = 23, c = 11, 7860.79
a = 2, b = 23, c = 13, 7531.71
a = 2, b = 23, c = 17, 7752.32
a = 2, b = 23, c = 19, 7947.65
a = 2, b = 23, c = 29, 7718.26
a = 2, b = 23, c = 31, 7905.82
a = 2, b = 23, c = 37, 7962.19
a = 2, b = 23, c = 41, 7745.08
a = 2, b = 23, c = 43, 7678.52
a = 2, b = 23, c = 47, 7670.20
a = 2, b = 23, c = 53, 7979.85
a = 2, b = 23, c = 59, 8000.22
a = 2, b = 29, c = 5, 7854.96
a = 2, b = 29, c = 7, 7830.70
a = 2, b = 29, c = 11, 7729.84
a = 2, b = 29, c = 13, 7867.48
a = 2, b = 29, c = 17, 7833.03
a = 2, b = 29, c = 19, 7549.12
a = 2, b = 29, c = 23, 7649.05
a = 2, b = 29, c = 31, 7932.33
a = 2, b = 29, c = 37, 7676.89
a = 2, b = 29, c = 41, 7689.95
a = 2, b = 29, c = 43, 7906.52
a = 2, b = 29, c = 47, 7843.84
a = 2, b = 29, c = 53, 7842.29
a = 2, b = 29, c = 59, 7885.83
a = 2, b = 31, c = 5, 7709.47
a = 2, b = 31, c = 7, 7645.47
a = 2, b = 31, c = 11, 7892.05
a = 2, b = 31, c = 13, 7747.18
a = 2, b = 31, c = 17, 7701.07
a = 2, b = 31, c = 19, 7896.80
a = 2, b = 31, c = 23, 7713.12
a = 2, b = 31, c = 29, 7951.70
a = 2, b = 31, c = 37, 7718.72
a = 2, b = 31, c = 41, 7641.66
a = 2, b = 31, c = 43, 7873.47
a = 2, b = 31, c = 47, 7541.19
a = 2, b = 31, c = 53, 7698.97
a = 2, b = 37, c = 5, 7920.59
a = 2, b = 37, c = 7, 7445.39
a = 2, b = 37, c = 11, 7746.64
a = 2, b = 37, c = 13, 7725.18
a = 2, b = 37, c = 17, 7677.98
a = 2, b = 37, c = 19, 7820.51
a = 2, b = 37, c = 23, 7546.95
a = 2, b = 37, c = 29, 7701.38
a = 2, b = 37, c = 31, 7597.10
a = 2, b = 41, c = 7, 7982.49
a = 2, b = 41, c = 11, 7734.66
a = 2, b = 41, c = 13, 7582.48
a = 2, b = 41, c = 17, 7942.21
a = 2, b = 41, c = 19, 7770.51
a = 2, b = 41, c = 23, 7809.63
a = 2, b = 41, c = 29, 7774.79
a = 2, b = 41, c = 31, 8020.36
a = 2, b = 41, c = 47, 7674.09
a = 2, b = 43, c = 7, 7718.18
a = 2, b = 43, c = 11, 7821.37
a = 2, b = 43, c = 13, 7896.25
a = 2, b = 43, c = 17, 7824.71
a = 2, b = 43, c = 19, 7960.09
a = 2, b = 43, c = 23, 7810.33
a = 2, b = 43, c = 29, 7635.13
a = 2, b = 43, c = 31, 8028.29
a = 2, b = 43, c = 53, 7821.83
a = 2, b = 47, c = 5, 7817.71
a = 2, b = 47, c = 7, 7696.02
a = 2, b = 47, c = 11, 7883.27
a = 2, b = 47, c = 13, 7984.12
a = 2, b = 47, c = 17, 7623.00
a = 2, b = 47, c = 19, 7638.47
a = 2, b = 47, c = 23, 7865.38
a = 2, b = 47, c = 29, 7923.47
a = 2, b = 47, c = 31, 7895.47
a = 2, b = 53, c = 5, 7915.38
a = 2, b = 53, c = 7, 7879.84
a = 2, b = 53, c = 11, 7807.84
a = 2, b = 53, c = 13, 7925.18
a = 2, b = 53, c = 17, 7902.94
a = 2, b = 53, c = 19, 8058.38
a = 2, b = 53, c = 23, 7682.25
a = 2, b = 53, c = 29, 7707.37
a = 2, b = 53, c = 31, 7981.25
a = 2, b = 59, c = 7, 7924.63
a = 2, b = 59, c = 11, 7770.82
a = 2, b = 59, c = 13, 7517.55
a = 2, b = 59, c = 17, 7917.95
a = 2, b = 59, c = 19, 7857.37
a = 2, b = 59, c = 23, 7868.02
a = 2, b = 59, c = 29, 7453.87
a = 2, b = 59, c = 31, 7731.63
a = 2, b = 61, c = 7, 7920.44
a = 2, b = 61, c = 11, 7668.80
a = 2, b = 61, c = 13, 8036.46
a = 2, b = 61, c = 17, 7928.60
a = 2, b = 61, c = 19, 7771.60
a = 2, b = 61, c = 23, 7665.53
a = 3, b = 2, c = 7, 7706.05
a = 3, b = 2, c = 11, 7689.72
a = 3, b = 2, c = 13, 7671.21
a = 3, b = 2, c = 17, 7765.53
a = 3, b = 2, c = 19, 7902.71
a = 3, b = 2, c = 23, 7741.66
a = 3, b = 2, c = 29, 7605.35
a = 3, b = 2, c = 31, 7717.71
a = 3, b = 2, c = 37, 7864.76
a = 3, b = 2, c = 41, 7698.04
a = 3, b = 2, c = 43, 7704.03
a = 3, b = 2, c = 47, 7836.06
a = 3, b = 2, c = 53, 7773.86
a = 3, b = 2, c = 59, 7672.22
a = 3, b = 2, c = 61, 7809.00
a = 3, b = 5, c = 7, 7504.18
a = 3, b = 5, c = 11, 7803.17
a = 3, b = 5, c = 13, 7533.65
a = 3, b = 5, c = 17, 7675.41
a = 3, b = 5, c = 19, 7854.49
a = 3, b = 5, c = 23, 7468.10
a = 3, b = 5, c = 29, 7654.10
a = 3, b = 5, c = 31, 7758.07
a = 3, b = 5, c = 37, 7727.74
a = 3, b = 5, c = 41, 7619.58
a = 3, b = 5, c = 43, 7664.13
a = 3, b = 5, c = 47, 7714.21
a = 3, b = 5, c = 53, 7917.33
a = 3, b = 5, c = 59, 7699.67
a = 3, b = 5, c = 61, 7712.50
a = 3, b = 7, c = 5, 7952.08
a = 3, b = 7, c = 11, 7937.70
a = 3, b = 7, c = 13, 7593.14
a = 3, b = 7, c = 17, 7679.14
a = 3, b = 7, c = 19, 7840.42
a = 3, b = 7, c = 23, 7395.39
a = 3, b = 7, c = 29, 7882.18
a = 3, b = 7, c = 31, 7693.99
a = 3, b = 7, c = 37, 7705.04
a = 3, b = 7, c = 41, 7935.75
a = 3, b = 7, c = 43, 7555.66
a = 3, b = 7, c = 47, 7551.07
a = 3, b = 7, c = 53, 7860.17
a = 3, b = 7, c = 59, 7908.07
a = 3, b = 7, c = 61, 7751.46
a = 3, b = 11, c = 5, 7739.72
a = 3, b = 11, c = 7, 7695.78
a = 3, b = 11, c = 13, 7768.02
a = 3, b = 11, c = 17, 7878.99
a = 3, b = 11, c = 19, 7562.65
a = 3, b = 11, c = 23, 7801.93
a = 3, b = 11, c = 31, 7948.43
a = 3, b = 11, c = 37, 7560.17
a = 3, b = 11, c = 41, 7990.65
a = 3, b = 11, c = 43, 7923.78
a = 3, b = 11, c = 47, 7729.53
a = 3, b = 11, c = 53, 7891.43
a = 3, b = 11, c = 59, 7849.67
a = 3, b = 11, c = 61, 7686.53
a = 3, b = 13, c = 5, 7994.31
a = 3, b = 13, c = 7, 7972.77
a = 3, b = 13, c = 11, 7999.99
a = 3, b = 13, c = 17, 7830.54
a = 3, b = 13, c = 19, 7825.72
a = 3, b = 13, c = 23, 7733.96
a = 3, b = 13, c = 29, 7885.75
a = 3, b = 13, c = 31, 7663.28
a = 3, b = 13, c = 37, 7963.05
a = 3, b = 13, c = 41, 7705.89
a = 3, b = 13, c = 43, 7900.06
a = 3, b = 13, c = 47, 7873.93
a = 3, b = 13, c = 53, 7862.43
a = 3, b = 13, c = 59, 7771.91
a = 3, b = 13, c = 61, 7736.22
a = 3, b = 17, c = 5, 7685.52
a = 3, b = 17, c = 7, 7876.97
a = 3, b = 17, c = 11, 7701.93
a = 3, b = 17, c = 13, 7640.42
a = 3, b = 17, c = 19, 7715.07
a = 3, b = 17, c = 23, 7578.75
a = 3, b = 17, c = 29, 7793.92
a = 3, b = 17, c = 31, 7584.19
a = 3, b = 17, c = 41, 7738.47
a = 3, b = 17, c = 43, 8054.89
a = 3, b = 17, c = 47, 7960.41
a = 3, b = 17, c = 53, 7719.58
a = 3, b = 17, c = 59, 8065.85
a = 3, b = 17, c = 61, 7616.08
a = 3, b = 19, c = 5, 7731.71
a = 3, b = 19, c = 7, 7835.60
a = 3, b = 19, c = 11, 7667.71
a = 3, b = 19, c = 13, 7780.70
a = 3, b = 19, c = 17, 7800.61
a = 3, b = 19, c = 23, 7985.06
a = 3, b = 19, c = 29, 8037.93
a = 3, b = 19, c = 31, 7687.85
a = 3, b = 19, c = 37, 7527.66
a = 3, b = 19, c = 41, 7741.97
a = 3, b = 19, c = 43, 7678.29
a = 3, b = 19, c = 47, 7948.35
a = 3, b = 19, c = 53, 7827.28
a = 3, b = 19, c = 59, 8056.21
a = 3, b = 19, c = 61, 7798.66
a = 3, b = 23, c = 5, 7567.09
a = 3, b = 23, c = 7, 7674.48
a = 3, b = 23, c = 11, 7778.52
a = 3, b = 23, c = 13, 7878.44
a = 3, b = 23, c = 17, 7962.43
a = 3, b = 23, c = 19, 7623.08
a = 3, b = 23, c = 29, 7583.73
a = 3, b = 23, c = 31, 7888.71
a = 3, b = 23, c = 37, 7631.09
a = 3, b = 23, c = 41, 7657.29
a = 3, b = 23, c = 43, 7676.03
a = 3, b = 23, c = 47, 7678.83
a = 3, b = 23, c = 53, 7830.85
a = 3, b = 23, c = 59, 7808.69
a = 3, b = 23, c = 61, 7919.27
a = 3, b = 29, c = 5, 7836.92
a = 3, b = 29, c = 7, 7667.32
a = 3, b = 29, c = 11, 7697.65
a = 3, b = 29, c = 13, 7826.58
a = 3, b = 29, c = 17, 7841.74
a = 3, b = 29, c = 19, 7592.67
a = 3, b = 29, c = 23, 7833.27
a = 3, b = 29, c = 31, 7599.82
a = 3, b = 29, c = 37, 8055.66
a = 3, b = 29, c = 41, 7729.92
a = 3, b = 29, c = 43, 7458.22
a = 3, b = 29, c = 47, 7795.94
a = 3, b = 29, c = 53, 7739.10
a = 3, b = 29, c = 59, 7746.33
a = 3, b = 31, c = 5, 7894.39
a = 3, b = 31, c = 7, 7767.56
a = 3, b = 31, c = 11, 7704.26
a = 3, b = 31, c = 13, 7964.37
a = 3, b = 31, c = 17, 7710.56
a = 3, b = 31, c = 19, 7548.50
a = 3, b = 31, c = 23, 7516.85
a = 3, b = 31, c = 29, 7796.72
a = 3, b = 31, c = 37, 7837.93
a = 3, b = 31, c = 41, 7706.05
a = 3, b = 31, c = 43, 7842.67
a = 3, b = 31, c = 47, 7631.55
a = 3, b = 31, c = 53, 7531.55
a = 3, b = 31, c = 59, 8028.29
a = 3, b = 31, c = 61, 7643.06
a = 3, b = 37, c = 5, 8011.49
a = 3, b = 37, c = 7, 7822.15
a = 3, b = 37, c = 11, 7803.48
a = 3, b = 37, c = 13, 7824.71
a = 3, b = 37, c = 17, 7553.63
a = 3, b = 37, c = 19, 7938.94
a = 3, b = 37, c = 23, 7738.86
a = 3, b = 37, c = 29, 7607.37
a = 3, b = 37, c = 31, 7616.54
a = 3, b = 37, c = 41, 7772.61
a = 3, b = 37, c = 43, 7979.61
a = 3, b = 37, c = 61, 7748.43
a = 3, b = 41, c = 5, 7770.43
a = 3, b = 41, c = 7, 8006.75
a = 3, b = 41, c = 11, 7898.58
a = 3, b = 41, c = 13, 7922.22
a = 3, b = 41, c = 17, 8054.26
a = 3, b = 41, c = 19, 7669.11
a = 3, b = 41, c = 23, 7721.68
a = 3, b = 41, c = 29, 7715.92
a = 3, b = 41, c = 31, 7824.79
a = 3, b = 41, c = 43, 7912.19
a = 3, b = 43, c = 5, 7848.51
a = 3, b = 43, c = 7, 7704.96
a = 3, b = 43, c = 11, 7425.64
a = 3, b = 43, c = 13, 8042.29
a = 3, b = 43, c = 17, 7717.40
a = 3, b = 43, c = 19, 7925.88
a = 3, b = 43, c = 23, 7618.10
a = 3, b = 43, c = 29, 7888.55
a = 3, b = 43, c = 31, 7647.34
a = 3, b = 43, c = 47, 7534.58
a = 3, b = 43, c = 61, 7849.36
a = 3, b = 47, c = 5, 7738.78
a = 3, b = 47, c = 7, 7752.86
a = 3, b = 47, c = 11, 7778.44
a = 3, b = 47, c = 13, 7838.01
a = 3, b = 47, c = 17, 7691.43
a = 3, b = 47, c = 19, 7888.24
a = 3, b = 47, c = 23, 7592.52
a = 3, b = 47, c = 29, 7640.49
a = 3, b = 47, c = 31, 7994.31
a = 3, b = 53, c = 5, 7747.49
a = 3, b = 53, c = 7, 7628.52
a = 3, b = 53, c = 11, 7765.15
a = 3, b = 53, c = 13, 7820.43
a = 3, b = 53, c = 17, 7866.08
a = 3, b = 53, c = 19, 7783.96
a = 3, b = 53, c = 23, 7769.19
a = 3, b = 53, c = 29, 7926.89
a = 3, b = 53, c = 31, 7859.16
a = 3, b = 59, c = 5, 7605.11
a = 3, b = 59, c = 7, 7763.82
a = 3, b = 59, c = 11, 7749.52
a = 3, b = 59, c = 13, 7858.46
a = 3, b = 59, c = 17, 7702.31
a = 3, b = 59, c = 19, 7830.00
a = 3, b = 59, c = 23, 7835.44
a = 3, b = 59, c = 29, 7970.51
a = 3, b = 59, c = 31, 7940.26
a = 3, b = 61, c = 5, 7630.62
a = 3, b = 61, c = 7, 8034.43
a = 3, b = 61, c = 11, 8016.16
a = 3, b = 61, c = 13, 8017.87
a = 3, b = 61, c = 17, 7817.48
a = 3, b = 61, c = 19, 7896.25
a = 3, b = 61, c = 23, 7721.37
a = 3, b = 61, c = 29, 7707.91
a = 3, b = 61, c = 31, 7833.73
a = 5, b = 2, c = 3, 7893.53
a = 5, b = 2, c = 7, 7789.10
a = 5, b = 2, c = 11, 7691.51
a = 5, b = 2, c = 17, 7702.63
a = 5, b = 2, c = 19, 7860.95
a = 5, b = 2, c = 23, 7818.33
a = 5, b = 2, c = 29, 7738.63
a = 5, b = 2, c = 31, 7872.30
a = 5, b = 2, c = 37, 7694.85
a = 5, b = 2, c = 41, 7673.39
a = 5, b = 2, c = 43, 7848.82
a = 5, b = 2, c = 47, 7945.79
a = 5, b = 2, c = 53, 7801.69
a = 5, b = 2, c = 59, 7674.48
a = 5, b = 2, c = 61, 7786.37
a = 5, b = 3, c = 2, 8042.37
a = 5, b = 3, c = 7, 7723.08
a = 5, b = 3, c = 11, 7602.24
a = 5, b = 3, c = 13, 7755.04
a = 5, b = 3, c = 17, 7874.01
a = 5, b = 3, c = 19, 7573.85
a = 5, b = 3, c = 23, 7715.38
a = 5, b = 3, c = 29, 7823.00
a = 5, b = 3, c = 31, 7796.41
a = 5, b = 3, c = 37, 7903.64
a = 5, b = 3, c = 41, 7903.41
a = 5, b = 3, c = 43, 7782.33
a = 5, b = 3, c = 47, 7841.82
a = 5, b = 3, c = 53, 7679.37
a = 5, b = 3, c = 59, 7670.98
a = 5, b = 3, c = 61, 7906.83
a = 5, b = 7, c = 3, 7861.41
a = 5, b = 7, c = 11, 7942.29
a = 5, b = 7, c = 13, 7816.24
a = 5, b = 7, c = 17, 7923.08
a = 5, b = 7, c = 19, 7579.30
a = 5, b = 7, c = 23, 7718.26
a = 5, b = 7, c = 29, 7815.92
a = 5, b = 7, c = 31, 7528.91
a = 5, b = 7, c = 37, 8022.93
a = 5, b = 7, c = 41, 7873.55
a = 5, b = 7, c = 43, 7639.02
a = 5, b = 7, c = 47, 7809.31
a = 5, b = 7, c = 53, 8068.18
a = 5, b = 7, c = 59, 7891.59
a = 5, b = 7, c = 61, 7851.77
a = 5, b = 11, c = 2, 7981.01
a = 5, b = 11, c = 3, 7692.83
a = 5, b = 11, c = 7, 7808.15
a = 5, b = 11, c = 13, 7631.01
a = 5, b = 11, c = 17, 7808.77
a = 5, b = 11, c = 19, 7514.68
a = 5, b = 11, c = 23, 7775.95
a = 5, b = 11, c = 29, 7649.44
a = 5, b = 11, c = 31, 7711.80
a = 5, b = 11, c = 37, 7755.11
a = 5, b = 11, c = 41, 7732.87
a = 5, b = 11, c = 43, 7563.35
a = 5, b = 11, c = 47, 7592.59
a = 5, b = 11, c = 53, 7785.99
a = 5, b = 11, c = 59, 7794.46
a = 5, b = 11, c = 61, 7499.05
a = 5, b = 13, c = 3, 7862.50
a = 5, b = 13, c = 7, 7861.96
a = 5, b = 13, c = 11, 7790.81
a = 5, b = 13, c = 17, 7822.61
a = 5, b = 13, c = 19, 7738.71
a = 5, b = 13, c = 23, 7743.45
a = 5, b = 13, c = 29, 7823.78
a = 5, b = 13, c = 31, 7902.47
a = 5, b = 13, c = 37, 7799.91
a = 5, b = 13, c = 41, 7742.36
a = 5, b = 13, c = 43, 7780.08
a = 5, b = 13, c = 47, 7625.10
a = 5, b = 13, c = 53, 7623.39
a = 5, b = 13, c = 59, 7992.13
a = 5, b = 13, c = 61, 7805.89
a = 5, b = 17, c = 2, 7726.27
a = 5, b = 17, c = 3, 7531.39
a = 5, b = 17, c = 7, 7727.82
a = 5, b = 17, c = 11, 7901.00
a = 5, b = 17, c = 13, 7705.66
a = 5, b = 17, c = 19, 7578.83
a = 5, b = 17, c = 23, 7876.03
a = 5, b = 17, c = 29, 7587.93
a = 5, b = 17, c = 31, 7517.40
a = 5, b = 17, c = 37, 7695.86
a = 5, b = 17, c = 41, 7791.97
a = 5, b = 17, c = 43, 7818.02
a = 5, b = 17, c = 47, 7713.75
a = 5, b = 17, c = 53, 7601.92
a = 5, b = 17, c = 59, 7532.02
a = 5, b = 17, c = 61, 7618.80
a = 5, b = 19, c = 2, 7708.69
a = 5, b = 19, c = 3, 7887.08
a = 5, b = 19, c = 7, 7813.20
a = 5, b = 19, c = 11, 7724.24
a = 5, b = 19, c = 13, 7609.39
a = 5, b = 19, c = 17, 7628.60
a = 5, b = 19, c = 23, 7983.34
a = 5, b = 19, c = 29, 7699.13
a = 5, b = 19, c = 31, 7847.88
a = 5, b = 19, c = 37, 7558.22
a = 5, b = 19, c = 41, 7580.70
a = 5, b = 19, c = 43, 7902.71
a = 5, b = 19, c = 47, 7667.79
a = 5, b = 19, c = 53, 7635.13
a = 5, b = 19, c = 59, 7719.42
a = 5, b = 19, c = 61, 7952.71
a = 5, b = 23, c = 2, 7823.70
a = 5, b = 23, c = 3, 7814.68
a = 5, b = 23, c = 7, 7832.25
a = 5, b = 23, c = 11, 7614.83
a = 5, b = 23, c = 13, 7774.24
a = 5, b = 23, c = 17, 7373.31
a = 5, b = 23, c = 19, 7815.54
a = 5, b = 23, c = 29, 7764.91
a = 5, b = 23, c = 31, 7580.00
a = 5, b = 23, c = 37, 7576.73
a = 5, b = 23, c = 41, 7736.37
a = 5, b = 23, c = 43, 7706.75
a = 5, b = 23, c = 47, 7672.22
a = 5, b = 23, c = 53, 7529.22
a = 5, b = 23, c = 59, 7636.30
a = 5, b = 23, c = 61, 7689.87
a = 5, b = 29, c = 3, 7801.93
a = 5, b = 29, c = 7, 7779.69
a = 5, b = 29, c = 11, 7939.80
a = 5, b = 29, c = 13, 7628.21
a = 5, b = 29, c = 17, 7940.26
a = 5, b = 29, c = 19, 7494.54
a = 5, b = 29, c = 23, 7627.27
a = 5, b = 29, c = 31, 7662.58
a = 5, b = 29, c = 37, 7623.62
a = 5, b = 29, c = 41, 7458.53
a = 5, b = 29, c = 43, 7642.05
a = 5, b = 29, c = 47, 7710.56
a = 5, b = 29, c = 53, 7844.70
a = 5, b = 29, c = 59, 7580.00
a = 5, b = 29, c = 61, 7696.48
a = 5, b = 31, c = 3, 7643.84
a = 5, b = 31, c = 7, 7838.79
a = 5, b = 31, c = 11, 7842.91
a = 5, b = 31, c = 13, 7818.10
a = 5, b = 31, c = 17, 7947.19
a = 5, b = 31, c = 19, 7800.92
a = 5, b = 31, c = 23, 7799.59
a = 5, b = 31, c = 29, 7733.50
a = 5, b = 31, c = 37, 7873.70
a = 5, b = 31, c = 43, 7705.50
a = 5, b = 31, c = 53, 7864.76
a = 5, b = 37, c = 2, 7886.45
a = 5, b = 37, c = 3, 8012.51
a = 5, b = 37, c = 7, 7819.81
a = 5, b = 37, c = 11, 7700.91
a = 5, b = 37, c = 13, 7836.76
a = 5, b = 37, c = 17, 7767.32
a = 5, b = 37, c = 19, 7819.19
a = 5, b = 37, c = 23, 7850.99
a = 5, b = 37, c = 29, 7768.88
a = 5, b = 37, c = 31, 8039.10
a = 5, b = 37, c = 41, 7903.25
a = 5, b = 37, c = 43, 7870.67
a = 5, b = 41, c = 2, 7772.22
a = 5, b = 41, c = 3, 7598.66
a = 5, b = 41, c = 7, 7811.26
a = 5, b = 41, c = 11, 7761.96
a = 5, b = 41, c = 13, 7707.45
a = 5, b = 41, c = 17, 7874.56
a = 5, b = 41, c = 19, 7878.06
a = 5, b = 41, c = 23, 7932.80
a = 5, b = 41, c = 29, 7672.22
a = 5, b = 41, c = 31, 7839.64
a = 5, b = 41, c = 37, 7666.31
a = 5, b = 41, c = 43, 7682.87
a = 5, b = 41, c = 47, 7819.58
a = 5, b = 41, c = 59, 7706.20
a = 5, b = 43, c = 2, 7717.48
a = 5, b = 43, c = 3, 7813.82
a = 5, b = 43, c = 7, 7468.72
a = 5, b = 43, c = 11, 7611.18
a = 5, b = 43, c = 13, 7561.10
a = 5, b = 43, c = 17, 7747.49
a = 5, b = 43, c = 19, 7650.76
a = 5, b = 43, c = 23, 7700.60
a = 5, b = 43, c = 29, 7541.50
a = 5, b = 43, c = 31, 7857.76
a = 5, b = 43, c = 37, 7691.97
a = 5, b = 43, c = 41, 7898.43
a = 5, b = 43, c = 47, 7697.18
a = 5, b = 43, c = 59, 7615.22
a = 5, b = 47, c = 2, 7873.00
a = 5, b = 47, c = 3, 8032.80
a = 5, b = 47, c = 7, 7917.95
a = 5, b = 47, c = 11, 7703.48
a = 5, b = 47, c = 13, 7631.32
a = 5, b = 47, c = 17, 7485.28
a = 5, b = 47, c = 19, 7475.64
a = 5, b = 47, c = 23, 7843.92
a = 5, b = 47, c = 29, 7480.54
a = 5, b = 47, c = 31, 7601.46
a = 5, b = 47, c = 37, 7872.77
a = 5, b = 47, c = 41, 7883.58
a = 5, b = 47, c = 43, 7612.58
a = 5, b = 53, c = 3, 7822.92
a = 5, b = 53, c = 7, 7697.80
a = 5, b = 53, c = 11, 7866.39
a = 5, b = 53, c = 13, 7749.44
a = 5, b = 53, c = 17, 7761.72
a = 5, b = 53, c = 19, 7809.16
a = 5, b = 53, c = 23, 7675.72
a = 5, b = 53, c = 29, 7692.91
a = 5, b = 53, c = 31, 7778.52
a = 5, b = 53, c = 37, 7793.92
a = 5, b = 53, c = 41, 7975.26
a = 5, b = 53, c = 47, 7533.88
a = 5, b = 53, c = 59, 7785.21
a = 5, b = 59, c = 3, 7941.04
a = 5, b = 59, c = 7, 7916.94
a = 5, b = 59, c = 11, 8059.32
a = 5, b = 59, c = 13, 7980.78
a = 5, b = 59, c = 17, 7908.54
a = 5, b = 59, c = 19, 7590.88
a = 5, b = 59, c = 23, 7956.21
a = 5, b = 59, c = 29, 7660.25
a = 5, b = 59, c = 31, 7958.54
a = 5, b = 59, c = 37, 7846.64
a = 5, b = 59, c = 41, 7906.05
a = 5, b = 59, c = 43, 7502.39
a = 5, b = 59, c = 47, 7758.38
a = 5, b = 59, c = 53, 7568.49
a = 5, b = 59, c = 61, 7514.99
a = 5, b = 61, c = 3, 7698.35
a = 5, b = 61, c = 7, 7803.87
a = 5, b = 61, c = 11, 7728.60
a = 5, b = 61, c = 17, 7973.62
a = 5, b = 61, c = 19, 7920.12
a = 5, b = 61, c = 23, 7821.91
a = 7, b = 2, c = 3, 7520.12
a = 7, b = 2, c = 5, 7682.25
a = 7, b = 2, c = 11, 7826.34
a = 7, b = 2, c = 13, 7605.03
a = 7, b = 2, c = 17, 8007.92
a = 7, b = 2, c = 19, 7618.88
a = 7, b = 2, c = 23, 8001.07
a = 7, b = 2, c = 29, 7581.32
a = 7, b = 2, c = 31, 7823.39
a = 7, b = 2, c = 37, 7693.14
a = 7, b = 2, c = 41, 7705.50
